appid,name,developer,publisher,owners,price,initialprice,discount,ccu,primary_genre
1731700,Escape The Outbreak,Doguezera Games,Doguezera Games,0,2.99,299,0,0,Action
3574930,Classical Bullet Hell,Salixe Games,Salixe Games,0,0.99,99,0,0,Action
1440150,Pixel Survivor - Pixel Up!,Panda Indie Studio,"Panda Indie Studio, FondGame",0,0.99,99,0,0,Action
1622610,Hell Slayer,Neolithic Games,Neolithic Games,0,2.99,299,0,0,Action
1290820,Project Océara,Indépendant,Indépendant,0,0.0,0,0,0,Action
1521410,Manic Archers,Ancient Most High Games,Ancient Most High Games,0,5.99,599,0,0,Action
1468800,Portal Defect,Gin Motion,Gin Motion,0,0.0,0,0,1,Action
1633780,The Tau Ceti Terminus,"Light-Year Simulations,  LLC","Light-Year Simulations, LLC ",0,3.99,399,0,0,Action
2192520,Senli 307,Tamazusa,Tamazusa,0,2.99,299,0,0,Action
2580390,Crossing Frontier: Fate Foretold,"Beacon of Gamers, 星火工作室",Beacon of Gamers,0,14.99,1499,0,0,Action
1439630,Mad Devils: Damned-finitive Edition,Itzy Interactive Inc.,Itzy Interactive Inc.,0,14.99,1499,0,0,Action
2530920,神様ノ筐庭,Yutopia Arts,Yutopia Arts,0,9.99,999,0,0,Action
1411700,Doko Roko,Eric Mack,Eric Mack,0,9.99,999,0,0,Action
3116190,Let's Aim! Shooting Gallery,SAT-BOX,SAT-BOX,0,4.99,499,0,0,Action
1832370,Charades Movie One,Hede Games,Hede Games,0,199.99,19999,0,0,Action
2374010,Tenders Fight,"Isaac MENARD, Tom BOUTONNAT, Ethis CLAUSS, Gabriel SOUSSI", Isaac MENARD,0,4.99,499,0,1,Action
3224330,Thunderman - Adventures in another realm,"Robson ZImmermann, João Agostinho Gabardo Neto",Experia Studio,0,0.99,99,0,0,Action
2199540,80's Mania Pinball,Voodoo Doll Games,Voodoo Doll Games,0,1.99,199,0,0,Action
1995450,Police Scanner Radio - Real Live Audio - Happening Now!,hxr0,goldgames.io,0,19.99,1999,0,0,Action
2289930,Kiting Mechanics,Kiting Mechanics Team,Kiting Mechanics Team,0,2.99,299,0,0,Action
866270,Lambs on the road : The beginning,Flynn's Arcade,Flynn's Arcade,0,2.99,299,0,0,Action
1810700,Intralism: Rebuild,KHB-Soft,KHB-Soft,0,1.99,199,0,0,Action
2913670,Paraplasm: Beyond the Veil,DanikStudios,DanikStudios,0,0.99,99,0,0,Action
2341110,Narcalid,Lotus Mountain Creative,Lotus Mountain Creative,0,19.99,1999,0,0,Action
2058500,Collision,MildRainGames,MildRainGames,0,0.0,0,0,0,Action
2110760,Heist Master,SoupInIt Games,SoupInIt Games,0,0.99,99,0,0,Action
3324120,Horryefieing: High-Rise,Alaric Jaxxin,"Melinda Moon Entertainment, Laylasoft",0,8.99,899,0,0,Action
2315590,KitBashers 2  [Multiplayer],Archor Wright,Archor Games,0,0.69,99,30,0,Action
3179450,URAANKHIANS Dygyn - The Beginning,MonsterAttack, MonsterAttack,0,1.99,199,0,0,Action
2797820,Salvation Hours,Wolf Wire Studios,Wolf Wire Studios,0,9.99,999,0,0,Action
3489520,Going for Nuts,Crazy Mage,Crazy Mage,0,2.99,299,0,0,Action
369080,Age of Survival,Silky Sullivan,Silky Sullivan,0,18.99,1899,0,0,Action
2955040,Neurose Neurones,NEKURA CLAN,NEKURA CLAN,0,0.0,0,0,0,Action
1732220,The Crown of Wu,Red Mountain,"Meridiem Games, Gammera Nest, Ripples Asia Venture",0,19.99,1999,0,0,Action
869490,Limerick: Cadence Mansion,"Jenito Studios, LLC","Jenito Studios, LLC",0,14.99,1499,0,1,Action
2574270,Alien Investigator,Doky,Doky,0,11.99,1199,0,0,Action
2821320,Legend of Marrow,Abdulaziz Mjawer,Coded Xtreme,0,6.99,699,0,0,Action
2622850,Avium,"The Robot, (Solo)","Triune Vanguardian, (Solo)",0,29.99,2999,0,0,Action
2976450,Bug Ball 3D,kaiakairos,kaiakairos,0,0.99,99,0,0,Action
2895490,Cursedville,Arda Aslan,Arda Aslan,0,0.0,0,0,0,Action
2586110,Defenders Guild,Ruben Arranz,Ruben Arranz,0,3.99,399,0,0,Action
3225020,LET ME BOOK,REMBOT GAMES,REMBOT GAMES,0,4.99,499,0,0,Action
3102250,Kovoclak,lingouf,lingouf,0,9.99,999,0,0,Action
2969220,Dark Destruction,kite,kite,0,5.99,599,0,0,Action
2356190,UFO: The Ranch,Pablo Rodriguez,Alternative Reality Games 2015,0,0.99,99,0,0,Action
2609760,EMZOMBED,"Archor Wright, HOGuru Games!","Archor Games, HOGuru Games!",0,0.99,99,0,0,Action
3337750,Election FighterZ: Kamala vs trump,Steven Silverstein,Steven Silverstein,0,2.99,299,0,0,Action
2574650,SHAPE HUNTER,MotiyaGames,MotiyaGames,0,1.5,150,0,0,Action
3146500,ENDLESS DAYS Z,GABRIEL RODRIGUES,GR GAMES STUDIO INDIE,0,5.99,599,0,0,Action
2216250,Beta MAX,Nexcide,Nexcide,0,9.99,999,0,0,Action
3262220,Red Blue Cell,"Liao Kai, LKK GAME",Liao Kai,0,3.99,399,0,0,Action
3103940,Lunar Nightmare,Playstige Interactive,Playstige Interactive,0,3.99,399,0,0,Action
3138640,President 47 Trump,2kblater (5),2kblater (5),0,1.99,199,0,0,Action
3022540,Menticide,Continuum Studios,Continuum Studios,0,7.99,799,0,0,Action
3091340,Metal Thunder,Dumbbell Games,Dumbbell Games,0,10.99,1099,0,22,Action
2354330,Keep Keepers,Thunderrock Innovations,Thunderrock Innovations,0,17.99,1799,0,4,Action
2106230,Vex Clock,Dave Microwaves Games,Dave Microwaves Games,0,14.99,1499,0,3,Action
778780,Desktop Agents - Cov1d-999,Microblast Games,SA Industry,0,0.49,499,90,0,Action
766700,PearsAndGrayWitch,YAOYICHEN,YAOYICHEN,0,4.99,499,0,0,Action
1824450,Ricochet,"Nathaniel Stauffer, Michael Stauffer",Nix Studio,0,5.99,599,0,0,Action
1665990,Selene's Nightmare,HV,HV,0,0.71,299,76,0,Action
2135780,Shin Galaxy - Alpha War,AJ To The Moon,AJ To The Moon,0,2.99,299,0,0,Action
2557880,Chinese Pope Door,ZHOU MINGRUI,ZHOU MINGRUI,0,0.99,99,0,0,Action
3012810,Falling Ever - Lost in Time,Lucas Vacari Gomes,Lucas Vacari Gomes,0,3.99,399,0,0,Action
1746150,Nosos,Steth Games,Steth Games,0,7.99,799,0,0,Action
1721620,George: A Horror Story,Mug Ugly Games,Mug Ugly Games,0,1.99,199,0,0,Action
2813440,Toilet Paper Please,Pitigamedev,Pitigamedev,0,1.49,499,70,0,Action
1604390,PROVIDER,CakeNeq Games,CakeNeq Games,0,6.99,699,0,0,Action
3351410,Awakening,Behnder,NiceTry,0,0.99,99,0,0,Action
3478450,Monochrome Nemesis,BidouGameStudio,BidouGameStudio,0,0.99,99,0,0,Action
2953160,Captive: You Are My Idol,TheOdie,NightmarePugStudios,0,4.99,499,0,0,Action
3445050,Slug Wars,Hovi Production,Hovi Production,0,4.99,499,0,0,Action
19080,Biozone,G5 Entertainment,KONAMI,0,9.99,999,0,0,Action
509530,Gods and Nemesis: of Ghosts from Dragons,Chad Meffert,Chad Meffert,0,0.0,0,0,0,Action
798680,Animosity,Red River Studio,Red River Studio,0,5.99,599,0,0,Action
428740,Nordenfelt,Black Golem,Black Golem,0,5.99,599,0,0,Action
882620,Zeon 25,SnagBox Studio,SnagBox Studio,0,0.0,0,0,0,Action
